NewID,OldID,Group,Family,Genus,Species,Life form,Leaf form,Site,Ynew,Xnew,Hmax,Hact,Ks,Kl,P50,Ppd,Pmd,TLP,AlAs,WD,Vdia,VD,VLmax,ALT,MAT,MAP,PET,AI,Soiltype,Ecotype,Biome,Note_Biome,
s0054,109,Ang,Boraginaceae,Cordia,Cordia panamensis,T,E,s096,9.1667,-79.846,15,10,11.63171,7.31387,-2.33,-0.1625,-1.8375,-2,1.47,,61.7678,45,,44,26.4,2622,1398,1.8755,Acrisol,Isthmian-Atlantic moist forests,TRR,,
s0055,110,Ang,Boraginaceae,Cordia,Cordia pringle,S,D,s105,10.35,-85.35,4,2,2.27066,3.41648,,-1.344444,-1.85,,0.65,,39.5889,41,,20,26.6,1828,1787,1.0285,Luvisol,Central American dry forests,TRS,,
s0056,111,Ang,Sapindaceae,Acer,Acer glabrum,T,D,s226,40.7,-111.6833,10,7,1.166667,,-2.533333,,,,,0.532,23.8,,1.971,2440,5.1,713,965,0.7409,Phaeozem,Wasatch and Uinta montane forests,TMS,,
s0057,112,Ang,Sapindaceae,Acer,Acer grandidentatum,T,D,s226,40.7,-111.6833,15,5,0.98,,-2.9,,,,,,,,,2440,5.1,713,965,0.7409,Phaeozem,Wasatch and Uinta montane forests,TMS,,
s0058,113,Ang,Sapindaceae,Acer,Acer negundo,T,D,s226,40.7,-111.6833,25,10,1.32,,-1.7,,,,,,,,,2440,5.1,713,965,0.7409,Phaeozem,Wasatch and Uinta montane forests,TMS,,
s0059,114,Ang,Ericaceae,Arbutus,Arbutus unedo,T,E,s133,30.65,20.3,10,,,,-0.54,,-2.53,-0.98,,,24.84,523,,86,20.5,157,1657,0.0941,Lithosol,North Saharan steppe and woodlands,WDS,,
s0060,115,Ang,Betulaceae,Carpinus,Carpinus orientalis,T,D,s133,30.65,20.3,10,,,,-4.35,,-3.27,,,,33.04,177,,86,20.5,157,1657,0.0941,Lithosol,North Saharan steppe and woodlands,WDS,,
s0061,116,Ang,Cistaceae,Cistus,Cistus creticus,S,E,s133,30.65,20.3,2,,,,-5.2,,-7.98,,,,25.57,299,,86,20.5,157,1657,0.0941,Lithosol,North Saharan steppe and woodlands,WDS,,
s0062,117,Ang,Oleaceae,Phillyrea,Phillyrea latifolia,S,E,s133,30.65,20.3,7,,,,-7,,-8.01,,,,21.8,305,9,86,20.5,157,1657,0.0941,Lithosol,North Saharan steppe and woodlands,WDS,,
s0063,118,Ang,Lamiaceae,Phlomis,Phlomis fruticosa,S,E,s133,30.65,20.3,1,,,,-2.48,,-6.79,,,,31.58,265,,86,20.5,157,1657,0.0941,Lithosol,North Saharan steppe and woodlands,WDS,,
